ORF,GFP_fluorescence,RFP_fluorescence,CV_group
YAL001C,20.4223,8.17214,1
YAL002W,68.4383,49.844,4
YAL005C,251.515,218.641,4
YAL007C,148.904,67.6074,1
YAL009W,49.2783,34.5168,5
YAL010C,25.5189,10.0216,5
YAL011W,51.7387,0,3
YAL012W,230.12,430.905,1
YAL013W,60.3762,17.2234,2
YAL014C,88.1887,148.293,2
YAL015C,135.98,101.304,2
YAL016W,165.474,175.648,5
YAL017W,74.8528,78.4557,5
YAL018C,112.38,195.118,3
YAL020C,62.2428,0,0
YAL021C,114.488,127.662,5
YAL022C,80.729,96.6356,0
YAL023C,149.063,132.693,0
YAL024C,34.5957,32.6133,0
YAL025C,126.102,0,0
YAL026C,87.2838,94.0487,4
YAL027W,42.3948,35.8068,1
YAL028W,33.7927,18.9032,1
YAL030W,98.2949,164.718,1
YAL031C,60.5095,32.66,0
YAL032C,57.573,41.832,5
YAL034C,38.4751,0,3
YAL034W-A,67.4903,81.1109,4
YAL035W,228.864,174.84,4
YAL036C,105.443,81.7894,4
YAL037C-A,20.8008,77.8254,3
YAL037W,35.4049,7.36284,2
YAL040C,0,4.6097,5
YAL041W,40.3329,19.4526,5
YAL042W,116.067,178.515,1
YAL043C,56.4828,23.4234,0
YAL044C,228.592,423.311,1
YAL044W-A,278.466,379.811,0
YAL046C,151.606,283.712,4
YAL047C,66.3024,9.90835,2
YAL048C,64.0374,60.5549,1
YAL049C,260.528,352.906,3
YAL051W,61.7757,59.7647,1
YAL053W,48.9272,30.7594,4
YAL056W,50.3316,36.3945,2
YAL058W,83.9057,24.6479,5
YAL059W,83.7254,15.2102,0
YAL060W,135.038,217.528,2
YAL061W,48.9893,17.0561,4
YAL062W,0,373.984,3
YAL063C,60.9654,15.8277,2
YAL063C-A,31.9292,5.65137,5
YAL064C-A,23.8848,5.17349,3
YAL064W,20.9315,5.94068,0
YAL064W-B,27.4747,9.22886,1
YAL065C,25.8281,8.36543,0
YAL067C,69.8061,122.761,2
YAR002C-A,85.3228,37.0439,2
YAR002W,76.6489,15.9052,3
YAR003W,42.1038,14.9636,0
YAR007C,120.032,107.097,1
YAR008W,20.5383,3.95865,2
YAR014C,58.6009,61.6252,4
YAR015W,192.384,289.554,2
YAR018C,65.9539,70.8638,0
YAR019C,57.8676,39.8601,5
YAR020C,94.763,18.9946,4
