Time(Days),experiment,expression_levels,,,,,,,
0,ORIGINAL_SEQ,2154.234,,,,,,,
5,ORIGINAL_SEQ,1794.354,,,,,,,
10,ORIGINAL_SEQ,1488.288,,,,,,,
15,ORIGINAL_SEQ,1104.864,,,,,,,
20,ORIGINAL_SEQ,524.684,,,,2110.632667,2852.929667,,1.351694073
25,ORIGINAL_SEQ,338.018,,,,147.323,1990.059667,,
30,ORIGINAL_SEQ,107.627,,,,,,,
0,ORIGINAL_SEQ,1975.721,,,,0.069800398,0.697549501,,
5,ORIGINAL_SEQ,1833.823,,,,,,,
10,ORIGINAL_SEQ,1367.562,,,,,,,
15,ORIGINAL_SEQ,1092.487,,,,,,,
20,ORIGINAL_SEQ,577.139,,,,,,,
25,ORIGINAL_SEQ,400.713,,,,,,,
30,ORIGINAL_SEQ,160.329,,,,,,,
0,ORIGINAL_SEQ,2201.943,,,,,,,
5,ORIGINAL_SEQ,1819.187,,,,,,,
10,ORIGINAL_SEQ,1407.987,,,,,,,
15,ORIGINAL_SEQ,1134.789,,,,,,,
20,ORIGINAL_SEQ,543.091,,,,,,,
25,ORIGINAL_SEQ,375.132,,,,,,,
30,ORIGINAL_SEQ,147.323,,,,,,,
0,ESO,2393.033,,,,,,,
5,ESO,2001.201,,,,,,,
10,ESO,1794.354,,,,,,,
15,ESO,1468.108,,,,,,,
20,ESO,1368.888,,,,,,,
25,ESO,1120.809,,,,,,,
30,ESO,324.564,,,,,,,
0,ESO,2531.098,,,,,,,
5,ESO,2103.093,,,,,,,
10,ESO,1831.243,,,,,,,
15,ESO,1523.319,,,,,,,
20,ESO,1402.312,,,,,,,
25,ESO,1320.987,,,,,,,
30,ESO,340.098,,,,,,,
0,ESO,2240.987,,,,,,,
5,ESO,1993.421,,,,,,,
10,ESO,1773.427,,,,,,,
15,ESO,1478.029,,,,,,,
20,ESO,1303.378,,,,,,,
25,ESO,1037.234,,,,,,,
30,ESO,321.0398,,,,,,,
0,ARC15,2732.983,,,,,,,
5,ARC15,2609.842,,,,,,,
10,ARC15,2432.142,,,,,,,
15,ARC15,2290.814,,,,,,,
20,ARC15,2178.394,,,,,,,
25,ARC15,2013.973,,,,,,,
30,ARC15,1987.553,,,,,,,
0,ARC15,2893.463,,,,,,,
5,ARC15,2732.382,,,,,,,
10,ARC15,2511.312,,,,,,,
15,ARC15,2421.234,,,,,,,
20,ARC15,2239.159,,,,,,,
25,ARC15,2167.083,,,,,,,
30,ARC15,2018.008,,,,,,,
0,ARC15,2932.343,,,,,,,
5,ARC15,2834.539,,,,,,,
10,ARC15,2478.417,,,,,,,
15,ARC15,2394.507,,,,,,,
20,ARC15,2108.544,,,,,,,
25,ARC15,2085.581,,,,,,,
30,ARC15,1964.618,,,,,,,
0,CAF20,2452.568,,,,,,,
5,CAF20,2371.983,,,,,,,
10,CAF20,2291.398,,,,,,,
15,CAF20,2270.813,,,,,,,
20,CAF20,2130.228,,,,,,,
25,CAF20,2012.643,,,,,,,
30,CAF20,1969.058,,,,,,,
0,CAF20,2553.793,,,,,,,
5,CAF20,2476.328,,,,,,,
10,CAF20,2358.863,,,,,,,
15,CAF20,2268.064,,,,,,,
20,CAF20,2170.599,,,,,,,
25,CAF20,2050.134,,,,,,,
30,CAF20,1975.669,,,,,,,
0,CAF20,2633.872,,,,,,,
5,CAF20,2411.732,,,,,,,
10,CAF20,2389.592,,,,,,,
15,CAF20,2302.118,,,,,,,
20,CAF20,2285.978,,,,,,,
25,CAF20,1975.838,,,,,,,
30,CAF20,1867.698,,,,,,,
0,SUC2,1203.545,,,,,,,
5,SUC2,987.902,,,,,,,
10,SUC2,732.259,,,,,,,
15,SUC2,556.616,,,,,,,
20,SUC2,340.973,,,,,,,
25,SUC2,125.33,,,,,,,
0,SUC2,1083.424,,,,,,,
5,SUC2,863.234,,,,,,,
10,SUC2,543.044,,,,,,,
15,SUC2,422.854,,,,,,,
20,SUC2,202.664,,,,,,,
0,SUC2,1124.389,,,,,,,
5,SUC2,951.802,,,,,,,
10,SUC2,729.215,,,,,,,
15,SUC2,606.628,,,,,,,
20,SUC2,434.041,,,,,,,
