,rank,weighted_rank
Q0010,41,0.43685148563197346
Q0017,20,0.5596596596596597
Q0032,25,0.475035035035035
Q0045,314,0.4230663784803912
Q0050,105,0.47663854330521
Q0055,86,0.3694275671019857
Q0060,148,0.3543205367529692
Q0065,196,0.38034463034463034
Q0070,149,0.3562757388260744
Q0075,22,0.6594321594321594
Q0080,123,0.5697567486185372
Q0085,558,0.3862249346120314
Q0092,50,0.43375375375375375
Q0105,412,0.4080585439808741
Q0110,234,0.3404515626737849
Q0115,237,0.33899300144025885
Q0120,239,0.42780018512236084
Q0130,585,0.40380722602944824
Q0140,167,0.6198953444462426
Q0142,19,0.5237342605763659
Q0143,24,0.504295962629296
Q0160,208,0.39325383075383075
Q0182,29,0.49632391011701354
Q0250,500,0.3985445445445445
Q0255,45,0.43525747970192413
Q0275,208,0.486024486024486
Q0297,15,0.6583917250583917
YAL001C,140,0.4078149578149578
YAL002W,326,0.33967402985807893
YAL003W,653,0.4595054472542987
YAL004W,43,0.3407826431082245
YAL005C,1025,0.2980814961302766
YAL007C,176,0.3572151697151697
YAL008W,68,0.28605075663899193
YAL009W,193,0.3863500806505988
YAL010C,217,0.44622502687018817
YAL011W,153,0.38115893671449225
YAL012W,397,0.33040345131025234
YAL013W,222,0.3675251828404982
YAL014C,140,0.3838195338195338
YAL015C,593,0.2818383307422093
YAL016C-A,1,0.9419419419419419
YAL016C-B,51,0.42666195607372076
YAL016W,565,0.31853623535039466
YAL017W,708,0.24901030974477303
YAL018C,103,0.35972866069953446
YAL019W,385,0.2893256893256893
YAL019W-A,1,0.8108108108108109
YAL020C,323,0.289778943029717
YAL021C,463,0.3677370675210848
YAL022C,190,0.3095832674780043
YAL023C,314,0.3648967438776356
YAL024C,301,0.3498016288713963
YAL025C,628,0.5533893766377843
YAL026C,401,0.36638134393745364
YAL026C-A,1,0.9419419419419419
YAL027W,113,0.3592619167840407
YAL028W,90,0.31485930374819265
YAL029C,479,0.32763661364913976
YAL030W,434,0.4744790873823132
YAL031C,58,0.3476752614683649
YAL031W-A,1,0.9419419419419419
YAL032C,420,0.39438009438009436
YAL033W,234,0.3705158149602594
YAL034C,173,0.36545794349262556
YAL034W-A,221,0.4475923887688594
YAL035W,864,0.5003614725836948
YAL036C,539,0.30687830687830686
YAL037C-A,1,0.5515515515515516
YAL037W,2,0.471971971971972
YAL038W,1098,0.36619953286619955
YAL039C,250,0.3003043043043043
YAL040C,575,0.3422291857074466
YAL041W,347,0.4020100792435086
YAL042C-A,1,0.9719719719719719
YAL042W,390,0.2947229280562614
YAL043C,259,0.3602598737733873
YAL044C,392,0.3120135441564013
YAL044W-A,141,0.397681369312575
YAL045C,2,0.549049049049049
YAL046C,235,0.3769045641386067
YAL047C,193,0.36982578433355634
YAL047W-A,1,0.9309309309309309
YAL048C,504,0.32580199246865915
YAL049C,196,0.26777798206369635
YAL051W,87,0.42747345046195623
YAL053W,156,0.3444149277482611
YAL054C,630,0.3341532008198675
YAL055W,96,0.40672964631297964
YAL056W,110,0.371962871962872
YAL058W,567,0.3688273811730602
YAL059C-A,1,0.970970970970971
YAL059W,449,0.5029015652623671
YAL060W,301,0.29229561787701325
YAL061W,385,0.32024492024492024
YAL062W,512,0.34503448761261263
YAL063C,117,0.2935927380371825
YAL063C-A,1,0.2032032032032032
YAL064C-A,7,0.4673244673244673
YAL064W,6,0.22939606272939606
YAL064W-B,55,0.36607516607516605
YAL065C,27,0.3835687539391243
YAL066W,15,0.41327994661327994
YAL067C,170,0.31780015309427073
YAL067W-A,2,0.4169169169169169
YAL068C,37,0.6204312420528637
YAL068W-A,14,0.3717288717288717
YAL069W,20,0.6594094094094094
YAR002C-A,211,0.39284782412744496
YAR002W,265,0.3970121064460687
YAR003W,257,0.3599474961342666
