ORF,max_5_ind_1,max_5_ind_2,max_5_ind_3,max_5_ind_4,max_5_ind_5
YAL001C,1424,6163,383,2417,5150
YAL002W,4516,5003,4234,848,1566
YAL003W,377,6539,6205,3749,2584
YAL004W,5789,372,1008,2213,1651
YAL005C,4954,6405,5117,4038,5177
YAL007C,84,4613,2093,2299,520
YAL008W,6349,2318,5558,8,5929
YAL009W,2750,4929,890,1574,1340
YAL010C,4015,2318,58,4974,5558
YAL011W,4643,1556,505,4168,4505
YAL012W,2531,5928,1831,5999,3361
YAL013W,3104,352,5037,5456,6300
YAL014C,4968,32,1540,5844,3873
YAL015C,141,3786,4666,5596,4622
YAL016C-A,16,-2,-2,-2,-2
YAL016C-B,6596,4266,3841,5445,667
YAL016W,2288,5747,910,968,6313
YAL017W,3700,2561,5034,969,1746
YAL018C,132,3294,5600,4421,5601
YAL019W,4984,5647,2937,5768,4958
YAL019W-A,21,-2,-2,-2,-2
YAL020C,200,6244,93,5007,5237
YAL021C,5414,6530,3054,5523,944
YAL022C,2163,167,1172,1879,93
YAL023C,868,866,6074,1296,1667
YAL024C,4670,5982,2931,4809,3548
YAL025C,5066,1869,2856,802,6375
YAL026C,752,5449,5519,32,1750
YAL026C-A,29,-2,-2,-2,-2
YAL027W,4703,28,5647,4634,750
YAL028W,5040,6077,424,5138,4290
YAL029C,392,1998,3802,800,3862
YAL030W,6397,2373,1540,5569,4951
YAL031C,34,6298,6373,37,1876
YAL031W-A,33,-2,-2,-2,-2
YAL032C,1729,4984,989,6312,3988
YAL033W,4230,3221,533,2821,5344
YAL034C,467,5852,3340,33,5067
YAL034C-B,-2,-2,-2,-2,-2
YAL034W-A,6398,3607,3216,5623,2189
YAL035W,5034,5367,6499,5593,2060
YAL036C,5829,1193,2635,4984,6020
YAL037C-A,4065,-2,-2,-2,-2
YAL037C-B,-2,-2,-2,-2,-2
YAL037W,4065,6097,-2,-2,-2
YAL038W,2639,3726,2948,463,489
YAL039C,5773,1670,6334,5920,2877
YAL040C,424,5822,1853,4285,1921
YAL041W,469,4335,2693,6635,3422
YAL042C-A,50,-2,-2,-2,-2
YAL042W,49,4673,581,4613,6382
YAL043C,3681,2532,5345,4199,6565
YAL044C,4345,4957,1051,3301,1974
YAL044W-A,55,6216,1135,2319,1929
YAL045C,53,1389,-2,-2,-2
YAL046C,53,6216,3705,2319,1135
YAL047C,2946,4128,5244,5348,1418
YAL047W-A,58,-2,-2,-2,-2
YAL048C,8,2318,5558,4015,5250
YAL049C,2380,795,6405,877,2757
YAL051W,6120,4013,561,401,5055
YAL053W,5448,2302,4457,2934,27
YAL054C,5235,4277,137,4000,6131
YAL055W,2508,5597,836,2448,5455
YAL056C-A,-2,-2,-2,-2,-2
YAL056W,1738,5635,403,806,3049
